Employee_Name,Employee_Number,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,Date_of_Hire,Date_of_Termination,Reason_For_Term,Employment_Status,Department,Position,Pay_Rate,Manager_Name,Employee_Source,Performance_Score
"Hernandez, Daniff",1410071156,MA,1960,7/8/86,31,Male,Married,US Citizen,16/02/2015,22/02/2015,"no-call, no-show",Terminated for Cause,IT/IS,Database Administrator,40.1,Simon Roup,Employee Referral,N/A- too early to review
"Sparks, Taylor  ",1410071137,MA,2093,20/07/1968,49,Female,Married,US Citizen,20/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,16,Brannon Miller,Billboard,PIP
"Wallace, Courtney  E",1410071026,MA,2478,14/11/1955,62,Female,Married,US Citizen,26/09/2011,2/1/12,Another position,Voluntarily Terminated,Production       ,Production Manager,33.5,Janet King,Diversity Job Fair,Fully Meets
"Saar-Beckles, Melinda",1410070998,MA,1801,6/6/68,49,Female,Single,US Citizen,4/7/16,,N/A - Has not started yet,Future Start,Production       ,Production Technician I,20,Kelley Spirea,Diversity Job Fair,N/A- too early to review
"Costa, Latia",1409070567,CA,90007,8/11/88,29,Female,Single,US Citizen,10/1/11,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Other,Exceeds
"Adinolfi, Wilson  K",1409070522,MA,1960,10/7/83,34,Male,Single,US Citizen,5/7/11,,N/A - still employed,Active,Production       ,Production Technician I,20,Michael Albert,MBTA ads,Exceeds
"Tippett, Jeanette",1409070255,MA,2093,5/6/67,50,Female,Divorced,US Citizen,18/02/2013,,N/A - still employed,Active,Production       ,Production Technician I,24,Brannon Miller,Billboard,Fully Meets
"Meads, Elizabeth",1409070245,MA,1760,30/05/1968,49,Female,Single,US Citizen,2/4/12,11/11/15,Another position,Voluntarily Terminated,Production       ,Production Technician I,14,Kelley Spirea,Diversity Job Fair,Fully Meets
"Dunn, Amy  ",1409070147,MA,1731,28/11/1973,44,Female,Single,US Citizen,18/09/2014,,N/A - still employed,Active,Production       ,Production Manager,51,Janet King,Search Engine - Google Bing Yahoo,Fully Meets
"Ivey, Rose ",1408069882,MA,1775,28/01/1991,27,Female,Single,US Citizen,19/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,16,Brannon Miller,Professional Society,Fully Meets
"Bugali, Josephine ",1408069635,MA,2043,30/10/1969,48,Female,Separated,US Citizen,11/11/13,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,20,Kissy Sullivan,Diversity Job Fair,Fully Meets
"Gold, Shenice  ",1408069539,MA,2451,18/06/1992,25,Female,Single,US Citizen,11/11/13,,N/A - still employed,Active,Production       ,Production Technician I,17,Ketsia Liebig,Glassdoor,Fully Meets
"Moran, Patrick",1408069503,MA,2127,3/12/76,41,Male,Single,US Citizen,9/1/12,,N/A - still employed,Leave of Absence,Production       ,Production Technician II,26,Kelley Spirea,Diversity Job Fair,Fully Meets
"Dietrich, Jenna  ",1408069481,WA,98052,14/05/1987,30,Female,Single,US Citizen,20/02/2012,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Website Banner Ads,PIP
"Leach, Dallas",1408069409,MA,1810,17/01/1979,39,Female,Single,US Citizen,26/09/2011,19/08/2013,return to school,Voluntarily Terminated,Production       ,Production Technician I,19,Kissy Sullivan,Monster.com,Fully Meets
"Clukey, Elijian",1407069280,MA,2134,26/08/1980,37,Male,Married,US Citizen,6/7/16,,N/A - Has not started yet,Future Start,Production       ,Production Technician I,24.75,Brannon Miller,Employee Referral,Exceeds
"Sutwell, Barbara",1407069061,MA,2718,15/08/1968,49,Female,Single,Eligible NonCitizen,14/05/2012,,N/A - still employed,Active,Production       ,Production Technician I,14,Elijiah Gray,Glassdoor,Fully Meets
"Roby, Lori ",1407068885,MA,1886,11/10/81,36,Female,Married,US Citizen,16/02/2015,,N/A - still employed,Active,IT/IS,Database Administrator,39.55,Simon Roup,Employee Referral,Fully Meets
"Murray, Thomas",1406068403,TX,78230,4/7/88,29,Male,Divorced,US Citizen,10/11/14,,N/A - still employed,Active,IT/IS,Database Administrator,35.5,Simon Roup,Diversity Job Fair,Exceptional
"Tejeda, Lenora ",1406068345,MA,2129,24/05/1953,64,Female,Married,US Citizen,16/05/2011,8/7/12,Another position,Voluntarily Terminated,Production       ,Production Technician II,28.75,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets
"Brill, Donna",1406068293,MA,1701,24/08/1990,27,Female,Married,US Citizen,2/4/12,15/06/2013,Another position,Voluntarily Terminated,Production       ,Production Technician I,20,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets
"Harrell, Ludwick",1406068241,MA,1776,2/9/82,35,Male,Married,US Citizen,14/05/2012,,N/A - still employed,Active,Production       ,Production Technician I,21,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets
"McCarthy, Brigit",1406067957,MA,2149,21/05/1987,30,Female,Single,US Citizen,30/03/2015,,N/A - still employed,Active,Production       ,Production Technician II,26,Ketsia Liebig,Newspager/Magazine,N/A- too early to review
"Eaton, Marianne",1406067865,MA,2343,5/9/91,26,Female,Married,US Citizen,4/4/11,6/6/13,military,Voluntarily Terminated,Production       ,Production Technician I,17,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets
"Rivera, Haley  ",1405067642,MA,2171,12/1/73,45,Female,Married,US Citizen,28/11/2011,,N/A - still employed,Active,Production       ,Production Technician I,22,Webster Butler,Search Engine - Google Bing Yahoo,Exceeds
"Linden, Mathew",1405067565,MA,1770,19/03/1979,38,Male,Married,US Citizen,8/7/13,,N/A - still employed,Leave of Absence,Production       ,Production Technician II,22,Kelley Spirea,Information Session,Fully Meets
"Tavares, Desiree  ",1405067501,MA,1801,3/4/75,42,Female,Married,Non-Citizen,27/04/2009,1/4/13,Another position,Voluntarily Terminated,Production       ,Production Technician I,15,Webster Butler,Diversity Job Fair,Fully Meets
"Rossetti, Bruno",1405067492,MA,2155,18/03/1987,30,Male,Single,US Citizen,4/4/11,13/08/2012,Another position,Voluntarily Terminated,Production       ,Production Technician I,18,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets
"Sullivan, Kissy ",1405067298,MA,1776,28/03/1978,39,Female,Married,US Citizen,8/1/09,,N/A - still employed,Active,Production       ,Production Manager,55,Janet King,Billboard,Fully Meets
"Winthrop, Jordan  ",1405067188,MA,2045,7/11/58,59,male,Single,US Citizen,7/1/13,21/02/2016,retiring,Voluntarily Terminated,Production       ,Production Technician II,29,Brannon Miller,Professional Society,Exceeds
"Squatrito, Kristen",1405067138,MA,2359,26/03/1973,44,Female,Divorced,US Citizen,13/05/2013,29/06/2015,unhappy,Voluntarily Terminated,Production       ,Production Technician I,21,David Stanley,MBTA ads,Exceeds
"Handschiegl, Joanne",1405067064,MA,2127,23/03/1977,40,Female,Married,US Citizen,28/11/2011,,N/A - still employed,Active,Production       ,Production Technician I,24,Michael Albert,Word of Mouth,Fully Meets
"Osturnka, Adeel",1404066949,MA,2478,11/12/76,41,Male,Married,US Citizen,30/09/2013,,N/A - still employed,Active,Production       ,Production Technician I,16,Kelley Spirea,On-campus Recruiting,Exceeds
"Theamstern, Sophia",1404066739,MA,2066,9/5/65,52,Female,Single,US Citizen,5/7/11,5/9/11,return to school,Voluntarily Terminated,Production       ,Production Technician I,20,Amy Dunn,Billboard,N/A- too early to review
"Monkfish, Erasumus  ",1404066711,MA,1450,17/08/1992,25,Male,Married,US Citizen,7/11/11,,N/A - still employed,Active,Production       ,Production Technician II,27,David Stanley,Professional Society,Fully Meets
"Harrison, Kara",1404066622,MA,1886,2/5/74,43,Female,Married,US Citizen,12/5/14,,N/A - still employed,Active,Production       ,Production Technician I,20,Amy Dunn,Monster.com,Exceeds
"Beatrice, Courtney ",1403066194,MA,1915,27/10/1970,47,Female,Single,Eligible NonCitizen,4/4/11,,N/A - still employed,Active,Production       ,Production Technician I,22,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets
"Blount, Dianna",1403066125,MA,2171,21/09/1990,27,Female,Single,US Citizen,4/4/11,,N/A - still employed,Active,Production       ,Production Technician II,27,Michael Albert,Monster.com,Needs Improvement
"Cornett, Lisa ",1403066069,MA,2189,31/03/1977,40,Female,Married,US Citizen,5/1/15,,N/A - still employed,Active,Production       ,Production Technician I,15.75,Kelley Spirea,Billboard,90-day meets
"Ngodup, Shari ",1403066020,MA,1810,3/6/67,50,Female,Separated,US Citizen,1/4/13,,N/A - still employed,Active,Production       ,Production Technician I,15,Brannon Miller,Diversity Job Fair,Exceeds
"Immediato, Walter",1403065874,MA,2128,15/11/1976,41,Male,Married,US Citizen,21/02/2011,24/09/2012,unhappy,Voluntarily Terminated,Production       ,Production Manager,42,Janet King,Other,Needs Improvement
"Carter, Michelle ",1403065721,VT,5664,15/05/1963,54,Female,Single,US Citizen,18/08/2014,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Billboard,Fully Meets
"Robinson, Cherly",1403065625,MA,1460,7/1/85,33,Female,Married,US Citizen,10/1/11,17/05/2016,attendance,Terminated for Cause,Production       ,Production Technician I,16,Ketsia Liebig,Glassdoor,Needs Improvement
"Peterson, Ebonee  ",1402065355,MA,2030,9/5/77,40,Female,Married,US Citizen,25/10/2010,18/05/2016,Another position,Voluntarily Terminated,Production       ,Production Manager,38.5,Janet King,Internet Search,Fully Meets
"Roberson, May",1402065340,MA,1902,5/9/81,36,Female,Divorced,Eligible NonCitizen,26/09/2011,22/10/2011,return to school,Voluntarily Terminated,Production       ,Production Technician II,26,David Stanley,Search Engine - Google Bing Yahoo,N/A- too early to review
"Daneault, Lynn",1402065303,VT,5473,19/04/1990,27,Female,Single,US Citizen,5/5/14,,N/A - still employed,Active,Sales,Sales Manager,54,Debra Houlihan,Pay Per Click - Google,Fully Meets
"Fancett, Nicole",1402065085,MA,2324,27/09/1987,30,Female,Single,US Citizen,17/02/2014,,N/A - still employed,Active,Production       ,Production Technician II,24,Webster Butler,Newspager/Magazine,Fully Meets
"Exantus, Susan",1401064670,MA,1749,15/05/1987,30,Female,Married,US Citizen,2/5/11,5/6/13,attendance,Terminated for Cause,Software Engineering,Software Engineer,48.5,Alex Sweetwater,Billboard,Needs Improvement
"Terry, Sharlene ",1401064637,OR,97756,7/5/65,52,Female,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Sales,Area Sales Manager,55,Lynn Daneault,Monster.com,Fully Meets
"Punjabhi, Louis  ",1401064562,MA,2109,19/06/1961,56,Male,Single,US Citizen,6/1/14,,N/A - still employed,Active,Production       ,Production Technician I,16,Kelley Spirea,Employee Referral,Fully Meets
"Maurice, Shana",1401064327,MA,2330,22/11/1977,40,Female,Married,US Citizen,31/05/2011,,N/A - still employed,Active,Production       ,Production Technician I,20,David Stanley,Other,90-day meets
"Valentin,Jackie",1312063714,AZ,85006,23/05/1991,26,Female,Married,US Citizen,5/7/11,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Other,Fully Meets
"Goyal, Roxana",1312063675,MA,1864,9/10/74,43,Female,Married,US Citizen,19/08/2013,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,24,Kissy Sullivan,On-campus Recruiting,Fully Meets
"Barbara, Thomas",1312063507,MA,2062,21/02/1974,43,Male,Married,US Citizen,2/4/12,19/09/2012,unhappy,Voluntarily Terminated,Production       ,Production Technician I,22,Kissy Sullivan,Diversity Job Fair,90-day meets
"Crimmings,   Jean",1311063172,MA,1821,10/4/87,30,Female,Single,US Citizen,6/7/16,,N/A - Has not started yet,Future Start,Production       ,Production Technician I,19.75,Michael Albert,Newspager/Magazine,N/A- too early to review
"Carey, Michael  ",1311063114,MA,1701,2/2/83,34,Male,widowed,US Citizen,31/03/2014,,N/A - still employed,Active,Production       ,Production Technician I,20,Kelley Spirea,MBTA ads,Fully Meets
"Kretschmer, John",1311062610,MA,1801,2/2/80,37,Male,Married,US Citizen,10/1/11,,N/A - still employed,Active,Production       ,Production Technician I,21,Brannon Miller,Pay Per Click - Google,Fully Meets
"Garcia, Raul",1309061015,MA,1905,15/09/1985,32,Male,Single,US Citizen,30/03/2015,,N/A - still employed,Active,Production       ,Production Technician I,19,David Stanley,Employee Referral,N/A- too early to review
"South, Joe",1308060959,CT,6278,9/9/65,52,Male,Single,US Citizen,10/11/14,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,53,Peter Monroe,Employee Referral,90-day meets
"Mangal, Debbie",1308060754,MA,2451,7/11/74,43,Female,Married,US Citizen,11/11/13,,N/A - still employed,Active,Production       ,Production Technician I,23,Brannon Miller,On-campus Recruiting,Fully Meets
"Williams, Jacquelyn  ",1308060671,MA,2109,2/10/69,48,Female,Single,US Citizen,9/1/12,27/06/2015,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,16,Ketsia Liebig,Diversity Job Fair,Fully Meets
"Gerke, Melisa",1308060622,MA,2330,15/05/1970,47,Female,Divorced,US Citizen,7/11/11,15/11/2011,hours,Voluntarily Terminated,Production       ,Production Technician I,22,Elijiah Gray,Diversity Job Fair,N/A- too early to review
"Sadki, Nore  ",1308060535,MA,2148,21/12/1974,43,Male,Single,US Citizen,5/1/09,30/07/2010,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,21,Michael Albert,Word of Mouth,Fully Meets
"Billis, Helen",1308060366,MA,2031,1/9/89,28,Female,Married,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician I,16,Brannon Miller,Professional Society,Exceeds
"Whittier, Scott",1307060212,MA,2030,24/05/1987,30,Male,Single,US Citizen,10/1/11,15/05/2011,hours,Voluntarily Terminated,Production       ,Production Technician I,23,Webster Butler,Newspager/Magazine,90-day meets
"Ait Sidi, Karthikeyan   ",1307060199,MA,2148,5/5/75,42,Male,Married,US Citizen,30/03/2015,16/06/2016,career change,Voluntarily Terminated,IT/IS,Sr. DBA,62,Simon Roup,Company Intranet - Partner,Fully Meets
"Boutwell, Bonalyn",1307060188,MA,2468,4/4/87,30,Female,Married,US Citizen,16/02/2015,,N/A - still employed,Active,Admin Offices,Sr. Accountant,34.95,Brandon R. LeBlanc,Diversity Job Fair,90-day meets
"Baczenski, Rachael  ",1307060083,MA,1902,12/1/74,44,Female,Married,US Citizen,10/1/11,12/1/11,Another position,Voluntarily Terminated,Production       ,Production Technician I,17,David Stanley,Diversity Job Fair,N/A- too early to review
"Gray, Elijiah  ",1307060077,MA,1752,11/7/81,36,Male,Divorced,US Citizen,2/6/15,,N/A - still employed,Active,Production       ,Production Manager,54,Janet King,Employee Referral,Fully Meets
"Pelech, Emil",1307060058,MA,2458,17/03/1988,29,Male,Single,US Citizen,10/1/11,28/12/2012,career change,Voluntarily Terminated,Production       ,Production Technician I,24,Webster Butler,Search Engine - Google Bing Yahoo,Needs Improvement
"Peterson, Kayla ",1307059944,MA,1749,23/09/1973,44,Female,Married,US Citizen,26/04/2010,,N/A - still employed,Active,Production       ,Production Technician I,17,Ketsia Liebig,Search Engine - Google Bing Yahoo,Fully Meets
"Hankard, Earnest",1307059937,MA,2155,10/8/88,29,Male,Single,US Citizen,11/11/13,,N/A - still employed,Active,Production       ,Production Technician II,24,Kelley Spirea,Newspager/Magazine,Fully Meets
"Singh, Nan ",1307059817,MA,2330,19/05/1988,29,Female,Single,US Citizen,1/5/15,,N/A - still employed,Active,Admin Offices,Administrative Assistant,16.56,Brandon R. LeBlanc,Website Banner Ads,N/A- too early to review
"Digitale, Alfred",1306059197,NH,3062,14/09/1988,29,Male,Married,US Citizen,18/08/2014,,N/A - still employed,Active,Sales,Area Sales Manager,56,John Smith,Pay Per Click - Google,Fully Meets
"DeGweck,  James",1306058816,MA,1810,31/10/1977,40,Male,Married,US Citizen,16/05/2011,8/6/15,unhappy,Voluntarily Terminated,Production       ,Production Technician I,23.5,Webster Butler,Billboard,Fully Meets
"Huynh, Ming",1306058509,MA,1742,22/09/1976,41,Female,Divorced,US Citizen,21/02/2011,1/4/13,unhappy,Voluntarily Terminated,Production       ,Production Technician II,23,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets
"Mullaney, Howard",1306057978,AL,36006,2/11/75,42,Male,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Sales,Area Sales Manager,55,John Smith,Internet Search,Needs Improvement
"Johnston, Yen",1306057810,MA,2128,8/9/69,48,Female,Single,US Citizen,7/7/14,,N/A - still employed,Active,Production       ,Production Technician II,25,Brannon Miller,Professional Society,Exceptional
"Pham, Hong",1305057440,MA,2451,6/3/88,29,Male,Married,US Citizen,5/7/11,30/11/2012,more money,Voluntarily Terminated,Production       ,Production Technician I,18,Brannon Miller,Search Engine - Google Bing Yahoo,Fully Meets
"Chan, Lin",1305057282,MA,2170,12/2/79,38,Female,Single,US Citizen,12/5/14,,N/A - still employed,Active,Production       ,Production Technician I,19.5,Elijiah Gray,Internet Search,Fully Meets
"Lundy, Susan",1305056276,MA,2122,26/12/1976,41,Female,widowed,US Citizen,8/7/13,15/09/2013,more money,Voluntarily Terminated,Production       ,Production Technician II,24,Michael Albert,On-campus Recruiting,N/A- too early to review
"Langton, Enrico",1304055987,MA,2048,9/12/86,31,Male,Married,US Citizen,9/7/12,,N/A - still employed,Active,Production       ,Production Technician I,17,David Stanley,Newspager/Magazine,Fully Meets
"Mancuso, Karen",1304055986,MA,2176,10/12/86,31,Female,Married,US Citizen,5/7/11,19/08/2011,Another position,Voluntarily Terminated,Production       ,Production Technician II,23,Amy Dunn,Newspager/Magazine,N/A- too early to review
"Anderson, Linda  ",1304055947,MA,1844,22/05/1977,40,Female,Single,US Citizen,9/1/12,,N/A - still employed,Active,Production       ,Production Technician I,23,Amy Dunn,MBTA ads,Exceptional
"Knapp, Bradley  J",1304055683,MA,1721,10/11/77,40,Male,Single,US Citizen,17/02/2014,,N/A - still employed,Active,Production       ,Production Technician I,14,Ketsia Liebig,On-campus Recruiting,Fully Meets
"Martin, Sandra",1303054625,MA,2135,7/11/87,30,Female,Separated,US Citizen,11/11/13,,N/A - still employed,Active,Software Engineering,Software Engineer,55.51,Alex Sweetwater,Search Engine - Google Bing Yahoo,Fully Meets
"Bozzi, Charles",1303054580,MA,1901,10/3/70,47,Male,Single,US Citizen,30/09/2013,7/8/14,retiring,Voluntarily Terminated,Production       ,Production Manager,50.5,Janet King,Billboard,Fully Meets
"Beak, Kimberly  ",1303054329,MA,2145,17/04/1966,51,Female,Married,US Citizen,21/07/2016,,N/A - Has not started yet,Future Start,Production       ,Production Technician II,27,Kelley Spirea,Employee Referral,Exceeds
"Sander, Kamrin",1302053362,MA,2154,10/7/88,29,Female,Married,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician I,21,Elijiah Gray,On-campus Recruiting,Fully Meets
"Fernandes, Nilson  ",1302053339,MA,2132,18/10/1989,28,Male,Married,US Citizen,11/5/15,,N/A - still employed,Active,Production       ,Production Technician I,18,Amy Dunn,Professional Society,N/A- too early to review
"Steans, Tyrone  ",1302053333,MA,2703,1/9/86,31,Male,Single,US Citizen,29/09/2014,,N/A - still employed,Active,Admin Offices,Accountant I,29,Brandon R. LeBlanc,Internet Search,Fully Meets
"Gill, Whitney  ",1302053046,OH,43050,10/7/71,46,Female,widowed,US Citizen,7/7/14,5/9/15,attendance,Terminated for Cause,Sales,Area Sales Manager,55,John Smith,Monster.com,Fully Meets
"Newman, Richard ",1302053044,MA,2136,8/4/77,40,Male,Married,US Citizen,12/5/14,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,21,Ketsia Liebig,On-campus Recruiting,Fully Meets
"Clayton, Rick",1301052902,MA,2170,5/9/85,32,Male,Single,US Citizen,5/9/12,,N/A - still employed,Active,IT/IS,IT Support,28.99,Eric Dougall,Glassdoor,Fully Meets
"Keatts, Kramer ",1301052462,MA,1887,19/01/1976,42,Male,Single,US Citizen,30/09/2013,,N/A - still employed,Active,Production       ,Production Technician I,19,Michael Albert,Billboard,Fully Meets
"Burkett, Benjamin ",1301052449,MA,1890,19/08/1977,40,Male,Married,US Citizen,4/4/11,,N/A - still employed,Active,Production       ,Production Technician II,26,Ketsia Liebig,Careerbuilder,Fully Meets
"Moumanil, Maliki ",1301052436,MA,1460,1/12/74,43,Male,Separated,US Citizen,13/05/2013,,N/A - still employed,Active,Production       ,Production Technician II,29,Michael Albert,On-campus Recruiting,Fully Meets
"Warfield, Sarah",1301052347,MA,2453,2/5/78,39,Female,widowed,US Citizen,30/03/2015,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,55.2,Peter Monroe,Employee Referral,N/A- too early to review
"Athwal, Sam",1301052124,MA,2199,18/02/1983,34,Male,widowed,US Citizen,30/09/2013,,N/A - still employed,Active,Production       ,Production Technician I,22,Ketsia Liebig,Employee Referral,N/A- too early to review
"Bacong, Alejandro ",1212052023,MA,1886,7/1/88,30,Male,Divorced,US Citizen,5/1/15,,N/A - still employed,Active,IT/IS,Network Engineer,45,Peter Monroe,Glassdoor,90-day meets
"Barton, Nader",1212051962,MA,2747,15/07/1977,40,Male,Divorced,US Citizen,24/09/2012,6/4/13,Another position,Voluntarily Terminated,Production       ,Production Technician I,18,Michael Albert,On-line Web application,Fully Meets
"Bachiochi, Linda",1212051409,MA,1902,11/2/70,47,Female,Single,US Citizen,6/7/09,,N/A - still employed,Leave of Absence,Production       ,Production Technician I,22,Brannon Miller,Diversity Job Fair,Fully Meets
"Zima, Colleen",1211051232,MA,1730,17/08/1978,39,Female,widowed,US Citizen,29/09/2014,,N/A - still employed,Active,Production       ,Production Technician I,15,David Stanley,On-campus Recruiting,Fully Meets
"Rhoads, Thomas",1211050793,MA,2176,22/07/1982,35,Male,Divorced,US Citizen,16/05/2011,15/01/2016,retiring,Voluntarily Terminated,Production       ,Production Technician I,20,Elijiah Gray,Professional Society,Fully Meets
"Howard, Estelle",1211050782,MA,2170,16/09/1985,32,Female,Married,US Citizen,16/02/2015,15/04/2015,N/A - still employed,Active,Admin Offices,Administrative Assistant,21.5,Brandon R. LeBlanc,Pay Per Click - Google,N/A- too early to review
